LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageCars,WoodDeckSF,TotalPorch,GarageFinish,Functional,BsmtCond,LotConfig,LandSlope,BsmtQual,Foundation,FireplaceQu,PavedDrive,BsmtExposure,HouseStyle,Fence,SaleType,LandContour,BsmtFinType1,Neighborhood,Exterior2nd,LotShape,SaleCondition,KitchenQual,MasVnrType,RoofStyle,ExterCond,ExterQual,HeatingQC,Condition1,CentralAir,BldgType,MSZoning,GarageType,Electrical,MoSold,YrSold,YearBuiltlabel,YearRemodAdd_label,SalePrice,target
70,11200,5,5,0,134,1040,1040,1,0,1,0,3,0,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,Rec,Sawyer,HdBoard,Reg,Normal,TA,None,Hip,TA,TA,Ex,Norm,Y,1Fam,RL,Detchd,SBrkr,2,2008,5,5,129500,11.77144388
85,11924,9,5,286,177,1175,2324,1,0,3,0,4,2,3,147,21,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,No,2Story,None,New,Lvl,GLQ,NridgHt,Wd Shng,IR1,Partial,Ex,Stone,Hip,TA,Ex,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,7,2006,1,1,345000,12.75130259
72,12968,5,6,0,175,912,912,1,0,1,0,2,0,1,140,176,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,Sawyer,Plywood,IR2,Normal,TA,None,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,9,2008,5,5,144000,11.87757552
91,10652,7,5,306,1494,1494,1494,0,0,2,0,3,1,3,160,33,RFn,Typ,TA,Inside,Gtl,Gd,PConc,Gd,Y,Av,1Story,None,New,Lvl,Unf,CollgCr,VinylSd,IR1,Partial,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2007,1,1,279500,12.54076115
73,10920,6,5,212,520,1253,1253,1,0,1,1,2,1,1,0,389,RFn,Typ,TA,Corner,Gtl,TA,CBlock,Fa,Y,No,1Story,GdWo,WD,Lvl,BLQ,NAmes,MetalSd,IR1,Normal,TA,BrkFace,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2008,5,5,157000,11.96400745
51,6120,7,8,0,832,832,854,0,0,1,0,2,0,2,48,112,Unf,Typ,TA,Corner,Gtl,TA,BrkTil,None,Y,No,1.5Unf,GdPrv,WD,Lvl,Unf,BrkSide,Wd Sdng,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RM,Detchd,FuseA,7,2007,6,1,132000,11.79056478
73,11241,6,7,180,426,1004,1004,1,0,1,0,2,1,2,0,0,Fin,Typ,TA,CulDSac,Gtl,TA,CBlock,TA,Y,No,1Story,None,WD,Lvl,ALQ,NAmes,Wd Sdng,IR1,Normal,TA,BrkFace,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,3,2010,4,4,149000,11.9117083
72,10791,4,5,0,0,0,1296,0,0,2,0,2,0,2,0,0,Unf,Typ,None,Inside,Gtl,None,Slab,None,Y,None,1Story,None,WD,Lvl,None,Sawyer,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,Duplex,RL,CarPort,SBrkr,10,2006,5,5,90000,11.40757606
66,13695,5,5,0,468,1114,1114,1,0,1,1,3,0,2,0,102,Unf,Typ,TA,Inside,Gtl,TA,PConc,None,Y,No,1Story,None,WD,Lvl,GLQ,SawyerW,VinylSd,Reg,Normal,Gd,None,Gable,TA,TA,Ex,RRAe,Y,1Fam,RL,Detchd,SBrkr,6,2008,1,1,159000,11.97666577
70,7560,5,6,0,525,1029,1339,0,0,1,0,3,0,1,0,0,Unf,Min1,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,MnPrv,COD,Lvl,LwQ,NAmes,Plywood,Reg,Abnorml,TA,None,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2009,6,5,139000,11.84223641
101,14215,8,5,380,1158,1158,2376,0,0,3,1,4,1,3,240,154,RFn,Typ,TA,Corner,Gtl,Ex,PConc,Gd,Y,Av,2Story,None,New,Lvl,Unf,NridgHt,VinylSd,IR1,Partial,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,11,2006,1,1,325300,12.69250619
57,7449,7,7,0,637,637,1108,0,0,1,0,3,1,1,0,205,Unf,Typ,TA,Inside,Gtl,TA,PConc,Gd,N,No,1.5Unf,GdPrv,WD,Bnk,Unf,IDOTRR,Wd Sdng,Reg,Normal,Gd,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RM,Attchd,FuseF,6,2007,6,6,139400,11.84510995
75,9742,8,5,281,1777,1777,1795,0,0,2,0,3,1,2,171,159,RFn,Typ,TA,Inside,Gtl,Gd,PConc,Gd,Y,No,1Story,None,WD,Lvl,Unf,CollgCr,VinylSd,Reg,Normal,Gd,BrkFace,Hip,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,9,2008,1,1,230000,12.34583894
44,4224,5,7,0,200,1040,1060,1,0,1,0,3,1,2,100,110,Unf,Typ,TA,Inside,Gtl,Gd,PConc,TA,Y,No,1Story,None,WD,Lvl,GLQ,MeadowV,CmentBd,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,TwnhsE,RM,Attchd,SBrkr,6,2007,4,4,129900,11.7745279
72,8246,5,8,0,204,1060,1060,1,0,1,0,3,1,1,406,90,Unf,Typ,TA,Inside,Gtl,TA,CBlock,TA,Y,Mn,1Story,MnPrv,WD,Lvl,Rec,Sawyer,Plywood,IR1,Normal,Gd,None,Gable,Gd,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2010,5,1,154000,11.94471437
110,14230,8,5,640,1566,1566,1600,0,0,2,0,3,1,3,0,56,RFn,Typ,TA,Corner,Gtl,Gd,PConc,Gd,Y,No,1Story,None,WD,Lvl,Unf,NridgHt,VinylSd,Reg,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2009,1,1,256300,12.45410781
60,7200,5,7,0,180,900,900,0,1,1,0,3,0,2,222,32,Unf,Typ,TA,Corner,Gtl,TA,CBlock,None,Y,Mn,1Story,None,WD,Lvl,BLQ,NAmes,Wd Sdng,Reg,Normal,Gd,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,5,2010,6,1,134800,11.8115549
98,11478,8,5,200,486,1704,1704,1,0,2,0,3,1,3,0,50,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,No,1Story,None,WD,Lvl,GLQ,NridgHt,VinylSd,Reg,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2010,1,1,306000,12.63134365
47,16321,5,6,0,207,1484,1600,1,0,1,0,2,2,1,288,258,RFn,Typ,TA,CulDSac,Gtl,TA,CBlock,Gd,Y,Gd,1Story,None,WD,Lvl,BLQ,NAmes,MetalSd,IR1,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2006,6,2,207500,12.24289144
60,6324,4,6,0,520,520,520,0,0,1,0,1,0,1,49,87,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,Y,No,1Story,None,WD,Lvl,Unf,BrkSide,MetalSd,IR1,Normal,Fa,None,Gable,TA,TA,Fa,Feedr,N,1Fam,RM,Detchd,SBrkr,5,2008,6,6,68500,11.13460362
50,8500,4,4,0,649,649,1317,0,0,1,0,3,0,1,0,226,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,N,No,2Story,MnPrv,WD,Lvl,Unf,IDOTRR,BrkFace,Reg,Normal,TA,None,Gambrel,Fa,TA,TA,Feedr,N,1Fam,C (all),Detchd,SBrkr,7,2008,6,6,40000,10.59665973
72,8544,5,6,0,1228,1228,1228,0,0,1,1,3,0,1,0,65,Unf,Typ,TA,CulDSac,Gtl,TA,CBlock,None,Y,No,1Story,MnPrv,WD,Lvl,Unf,Sawyer,HdBoard,IR1,Normal,Gd,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,6,2008,5,1,149350,11.91405452
85,11049,8,5,0,1234,1234,1234,0,0,2,0,3,0,2,0,30,RFn,Typ,TA,Corner,Gtl,Ex,PConc,None,Y,Av,1Story,None,WD,Lvl,Unf,CollgCr,VinylSd,Reg,Normal,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,1,2008,1,1,179900,12.10016198
70,10552,5,5,0,380,1398,1700,0,1,1,1,4,1,2,0,38,RFn,Typ,TA,Inside,Gtl,TA,CBlock,Gd,Y,No,1Story,None,WD,Lvl,Rec,NAmes,BrkFace,IR1,Normal,Gd,None,Hip,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,4,2010,6,6,165500,12.01673252
60,7313,9,5,246,408,1561,1561,1,0,2,0,2,1,2,203,47,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,No,1Story,None,WD,Lvl,GLQ,NridgHt,MetalSd,Reg,Normal,Ex,BrkFace,Hip,TA,Ex,Ex,Norm,Y,TwnhsE,RL,Attchd,SBrkr,8,2007,1,1,277500,12.53357982
108,13418,8,5,132,1117,1117,2452,0,0,3,1,4,1,3,113,32,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Av,2Story,None,WD,Lvl,Unf,NridgHt,VinylSd,Reg,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,9,2006,1,1,309000,12.64109979
112,10859,5,5,0,1097,1097,1097,0,0,1,1,3,0,2,392,64,Unf,Typ,TA,Corner,Gtl,Gd,PConc,None,Y,No,1Story,None,WD,Lvl,Unf,CollgCr,VinylSd,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,6,2009,2,2,145000,11.88449592
74,8532,5,6,650,84,1297,1297,0,1,1,0,3,1,2,0,0,Fin,Typ,TA,Inside,Gtl,TA,CBlock,TA,Y,No,1Story,None,WD,Lvl,Rec,NAmes,Wd Sdng,Reg,Normal,TA,BrkFace,Hip,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,10,2009,6,2,153000,11.93819974
68,7922,5,7,0,326,1057,1057,1,0,1,0,3,0,1,0,52,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,GLQ,NAmes,VinylSd,Reg,Abnorml,Gd,None,Gable,Gd,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,1,2010,6,1,109000,11.59911234
65,6040,4,5,0,0,0,1152,0,0,2,0,2,0,0,0,0,None,Typ,None,Inside,Gtl,None,PConc,None,N,None,1Story,None,WD,Lvl,None,Edwards,Plywood,Reg,AdjLand,Fa,None,Gable,TA,TA,TA,Norm,N,Duplex,RL,None,FuseP,6,2008,6,6,82000,11.31448672
84,8658,6,5,101,445,1088,1324,0,0,2,0,3,1,2,0,138,RFn,Typ,TA,Inside,Gtl,TA,CBlock,TA,Y,No,1Story,GdWo,WD,Lvl,Rec,NAmes,Wd Sdng,Reg,Abnorml,TA,BrkFace,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2006,5,5,160000,11.98293534
115,16905,5,6,0,383,1350,1328,0,1,1,1,2,2,1,0,104,RFn,Typ,TA,Inside,Gtl,TA,CBlock,Gd,P,Gd,1Story,None,WD,Lvl,BLQ,Timber,VinylSd,Reg,Normal,TA,None,Gable,Gd,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2007,6,6,170000,12.0435596
67,9180,5,7,0,0,840,884,1,0,1,0,2,0,2,240,0,RFn,Typ,TA,CulDSac,Gtl,Gd,CBlock,None,Y,Av,SFoyer,MnPrv,WD,Lvl,ALQ,SawyerW,HdBoard,IR1,Normal,Gd,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2007,3,3,144000,11.87757552
70,9200,5,6,0,167,938,938,1,0,1,0,3,0,1,145,0,Unf,Typ,TA,CulDSac,Gtl,Gd,CBlock,None,Y,Av,1Story,MnPrv,WD,Lvl,LwQ,CollgCr,VinylSd,IR1,Normal,TA,None,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,7,2008,4,3,130250,11.77721864
70,7945,5,6,0,465,1150,1150,1,0,1,0,3,0,1,0,0,RFn,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,NAmes,Wd Sdng,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,FuseA,5,2006,6,6,141000,11.85652226
61,7658,9,5,412,1296,1752,1752,1,0,2,0,2,1,2,196,82,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,No,1Story,None,WD,Lvl,GLQ,NridgHt,MetalSd,Reg,Normal,Ex,BrkFace,Hip,TA,Ex,Ex,Norm,Y,TwnhsE,RL,Attchd,SBrkr,2,2010,1,1,319900,12.67576685
48,12822,7,5,0,83,1434,2149,1,0,1,1,1,1,2,168,241,RFn,Typ,TA,CulDSac,Gtl,Ex,PConc,Ex,Y,No,1.5Fin,None,WD,Lvl,GLQ,Mitchel,VinylSd,IR1,Abnorml,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2009,1,1,239686,12.38708918
84,11096,8,5,0,1632,1656,1656,0,0,2,0,3,0,3,0,146,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,Av,1Story,None,WD,Lvl,GLQ,Somerst,VinylSd,Reg,Normal,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,FV,Attchd,SBrkr,7,2007,1,1,249700,12.42801948
33,4456,4,5,0,736,736,1452,0,0,2,0,2,0,0,0,102,None,Typ,TA,Inside,Gtl,TA,BrkTil,None,N,No,2Story,None,New,Lvl,Unf,OldTown,MetalSd,Reg,Partial,TA,None,Gable,TA,TA,Gd,Norm,Y,2fmCon,RM,None,SBrkr,6,2009,6,1,113000,11.63515195
66,7742,5,7,0,192,955,955,1,0,1,0,3,0,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,MnPrv,WD,Lvl,BLQ,Sawyer,HdBoard,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,1,2007,5,5,127000,11.75195024
64,13869,6,6,0,612,794,1470,0,1,2,0,3,0,2,0,75,Fin,Typ,TA,Corner,Gtl,Gd,PConc,None,Y,Av,2Story,None,WD,Lvl,GLQ,Gilbert,VinylSd,IR2,Normal,TA,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2007,2,2,177000,12.08391066
52,6240,6,6,0,816,816,1176,0,0,1,0,3,1,2,112,0,Unf,Typ,TA,Inside,Gtl,TA,PConc,Gd,Y,No,1.5Fin,MnPrv,WD,Lvl,Unf,BrkSide,Wd Sdng,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RM,Detchd,SBrkr,9,2006,6,6,114500,11.64833884
110,8472,5,5,0,0,816,816,1,0,1,0,2,0,2,106,0,Unf,Typ,TA,Corner,Mod,Gd,CBlock,None,Y,Gd,1Story,None,WD,Bnk,LwQ,IDOTRR,Wd Sdng,IR2,Normal,TA,None,Gable,TA,Fa,TA,RRNn,N,Duplex,RM,CarPort,SBrkr,5,2010,5,5,110000,11.60824474
68,50271,9,5,0,32,1842,1842,2,0,0,1,0,1,3,857,72,Fin,Typ,TA,Inside,Gtl,Ex,CBlock,Gd,Y,Gd,1Story,None,WD,Low,GLQ,Veenker,Wd Shng,IR1,Normal,Gd,None,Gable,TA,Gd,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,11,2006,3,3,385000,12.86100121
60,7134,5,5,0,0,384,1360,0,0,1,0,3,1,2,0,50,Unf,Min1,TA,Inside,Mod,TA,CBlock,TA,Y,No,SLvl,MnPrv,WD,Bnk,ALQ,NAmes,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,2,2007,6,6,130000,11.77529742
100,10175,6,5,272,935,1425,1425,0,0,2,0,3,1,2,0,0,RFn,Typ,TA,Inside,Gtl,TA,CBlock,Gd,Y,No,1Story,None,WD,Lvl,BLQ,NAmes,Plywood,IR1,Normal,TA,BrkFace,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2008,5,5,180500,12.1034916
24,2645,8,5,456,321,970,1739,1,0,2,1,3,0,2,115,0,Fin,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,2Story,None,WD,Lvl,GLQ,Somerst,MetalSd,Reg,Abnorml,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,Twnhs,FV,Attchd,SBrkr,8,2009,2,1,172500,12.05815831
89,11645,7,5,0,860,860,1720,0,0,2,1,3,0,2,0,70,RFn,Typ,TA,Corner,Gtl,Gd,PConc,None,Y,No,2Story,None,WD,Lvl,Unf,CollgCr,VinylSd,IR1,Normal,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2006,1,1,196500,12.1884228
66,13682,10,5,1031,1410,1410,2945,0,0,3,1,3,1,3,192,37,Fin,Typ,TA,CulDSac,Gtl,Ex,PConc,Gd,Y,Gd,2Story,None,New,HLS,Unf,StoneBr,VinylSd,IR2,Partial,Gd,BrkFace,Hip,TA,Ex,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,10,2006,1,1,438780,12.99175571
60,7200,5,7,0,148,780,780,0,0,1,0,2,0,1,196,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,Av,1Story,MnPrv,WD,Bnk,ALQ,CollgCr,HdBoard,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Detchd,SBrkr,1,2008,4,4,124900,11.7352767
63,13072,6,5,0,217,1158,1158,1,0,1,1,3,0,2,0,50,Unf,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,1Story,None,New,Lvl,ALQ,SawyerW,VinylSd,Reg,Partial,Gd,None,Gable,TA,TA,Ex,RRAe,Y,1Fam,RL,Detchd,SBrkr,5,2006,1,1,158000,11.97035664
60,7200,5,7,0,530,530,1111,0,0,1,0,3,0,1,0,144,Unf,Typ,Fa,Inside,Gtl,TA,BrkTil,None,N,No,2.5Unf,None,WD,Lvl,Unf,IDOTRR,MetalSd,Reg,Normal,Fa,None,Gable,TA,TA,TA,Norm,N,1Fam,RM,Detchd,SBrkr,3,2007,6,2,101000,11.5228857
44,6442,8,5,178,1346,1370,1370,0,0,2,0,2,1,2,120,49,RFn,Typ,Gd,Inside,Gtl,Gd,PConc,Gd,Y,Mn,1Story,None,WD,Lvl,GLQ,NridgHt,VinylSd,IR1,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,TwnhsE,RL,Attchd,SBrkr,10,2007,1,1,202500,12.2185001
50,10300,7,6,0,576,576,1710,0,0,2,0,3,0,2,12,75,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,Y,No,2Story,GdPrv,WD,Bnk,Unf,OldTown,Stucco,IR1,Normal,TA,None,Gable,TA,TA,Gd,RRAn,Y,1Fam,RM,Detchd,SBrkr,4,2010,6,6,140000,11.84940484
70,9375,7,5,573,318,1057,2034,1,0,2,1,3,0,2,576,36,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,2Story,GdPrv,WD,Lvl,GLQ,CollgCr,VinylSd,Reg,Normal,Gd,BrkFace,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,2,2009,2,2,219500,12.29911207
76,9591,8,5,344,1143,1143,2473,0,0,2,1,4,1,3,192,151,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Av,2Story,None,WD,Lvl,Unf,NridgHt,VinylSd,Reg,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,10,2007,1,1,317000,12.66666021
73,19900,7,5,287,1035,1947,2207,1,0,2,0,3,1,2,301,0,RFn,Min1,TA,Inside,Gtl,Gd,CBlock,Gd,Y,Gd,1Story,None,WD,Lvl,GLQ,NAmes,Plywood,Reg,Normal,TA,BrkFace,Gable,TA,TA,TA,PosA,Y,1Fam,RL,Attchd,SBrkr,7,2010,4,3,180000,12.10071769
72,10665,7,5,167,440,1453,1479,1,0,2,0,3,0,2,144,29,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,Av,1Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,IR1,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,6,2007,1,1,226000,12.3282947
47,4608,4,6,0,747,747,747,0,0,1,0,2,0,1,0,0,Unf,Typ,TA,Corner,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,Unf,OldTown,MetalSd,Reg,Normal,TA,None,Gable,Gd,TA,TA,Artery,Y,1Fam,RM,Attchd,SBrkr,6,2010,6,6,80000,11.28979441
81,15593,7,4,0,701,1304,2287,0,0,2,0,3,1,2,0,135,Fin,Typ,TA,Corner,Gtl,TA,CBlock,TA,Y,No,1.5Fin,None,WD,Lvl,BLQ,ClearCr,AsbShng,Reg,Normal,TA,None,Gable,TA,Gd,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2006,6,6,225000,12.32386013
95,13651,7,6,1115,343,2223,2223,1,0,2,0,3,2,2,300,0,Fin,Typ,TA,Inside,Gtl,Gd,CBlock,Gd,Y,Gd,1Story,None,WD,Lvl,ALQ,NAmes,Plywood,IR1,Normal,TA,BrkFace,Gable,Gd,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,2,2007,4,4,244000,12.4049276
69,7599,4,6,0,280,845,845,1,0,1,0,2,0,2,0,0,Unf,Typ,TA,Corner,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,Mitchel,Plywood,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,6,2007,3,1,129500,11.77144388
74,10141,7,5,40,832,832,1718,0,0,2,1,3,1,2,0,385,Fin,Typ,TA,Corner,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,Unf,Gilbert,VinylSd,IR1,Normal,TA,BrkFace,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2009,2,2,185000,12.12811651
85,10200,5,7,104,404,1086,1086,1,0,1,0,3,0,2,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,GdWo,WD,Lvl,ALQ,NAmes,Wd Sdng,Reg,Normal,TA,BrkFace,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2010,6,1,144900,11.88380603
